Timestamp,Change,Player,PlayerID,Old,New
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Adam Aznou,06zef,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Ewen Jaouen,076ki,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Souza,072py,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Nathan Patterson,05yct,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Mikel Jack,078t9,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Julio Soler,06r7f,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Paddy McNair,03jlw,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Daniel Jebbison,05s00,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Dane Scarlett,05nip,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Max Aarons,051kg,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Matai Akinmboni,06r5r,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,William Dennis,056as,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Mark Gillespie,05n09,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Darko Gyabi,062du,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Tom King,06cmt,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Dillon Phillips,076de,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Remy Rees-Dottin,06r3w,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Brandon Austin,04gyd,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Kieran Dowell,03m5h,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Aidan Harris,06h1g,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Kaine Hayden,05rey,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Leo Shahar,06on5,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Raphael Borges Rodrigues,0784j,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Cody Drameh,05roa,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Reiss Elliot-Parris,078qj,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Kota Takai,06ya6,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Luke Woolfenden,06mfy,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Oscar Zambrano,0784t,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Miracle Adewole,078qi,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,David Akintola,076dr,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Daniel Bentley,02lo6,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Michele Di Gregorio,07918,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Jake Bidwell,02lpi,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Miguel Angel Brau,076d1,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Harvey Foster,078lg,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Henry Johnson,078gi,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Joel Latibeaudiere,04h87,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,NEW PLAYER,James Scanlon,06muk,,ARS | W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Matty Jacob,076di,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Eliot Matazo,076dl,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Abdulkadir Omur,0784s,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Archie Howard,076df,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Tyrell Sellars-Fleming,078yi,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Keith Andrews,02lzt,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Conor Gallagher,051k8,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Jacob Murphy,03am7,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Lucas Bergvall,06mn7,FA,W <small>(Tue)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Carlos Alcaraz,0687c,FA,W <small>(Mon)</small>
2026-08-30_03-08-08,PLAYER STATUS CHANGED,Rodrigo Bentancur,05ylw,FA,W <small>(Tue)</small>
2026-08-30_09-28-25,PLAYER STATUS CHANGED,Hayden Hackney,0784p,W <small>(Sun)</small>,W <small>(Mon)</small>
2026-08-30_09-28-25,WAIVERS CLEARED / NOW FA,Danny Ballard,05nns,W <small>(Sun)</small>,FA
2026-08-30_09-28-25,PLAYER DROPPED / NOW FA,Carlos Baleba,06fwi,Squirtz,FA
2026-08-30_09-28-25,WAIVER CLAIMED,Leon Goretzka,0792z,W <small>(Sun)</small>,Squirtz
2026-08-30_09-28-25,PLAYER STATUS CHANGED,Mohamed-Ali Cho,07934,W <small>(Sun)</small>,W <small>(Mon)</small>
2026-08-30_09-28-25,WAIVERS CLEARED / NOW FA,Freddie Simmonds,06s7r,W <small>(Sun)</small>,FA
2026-08-30_09-28-25,WAIVERS CLEARED / NOW FA,Shane Nti,07931,W <small>(Sun)</small>,FA
2026-08-30_09-28-25,WAIVERS CLEARED / NOW FA,Chibby Nwoko,07933,W <small>(Sun)</small>,FA
2026-08-30_09-28-25,WAIVERS CLEARED / NOW FA,Josh Robertson,07930,W <small>(Sun)</small>,FA
2026-08-30_09-28-25,WAIVERS CLEARED / NOW FA,Bradley Slade,07932,W <small>(Sun)</small>,FA
